startDate,approve,disapprove
2022-10-18,45.0,54.0
2022-10-17,39.0,55.0
2022-10-18,44.0,54.0
2022-10-17,39.0,51.0
2022-10-17,40.0,52.0
2022-10-18,39.0,52.7
2022-10-14,45.0,52.0
2022-10-16,38.91,53.99
2022-10-17,39.97,53.91
2022-10-15,45.0,53.0
2022-10-12,45.0,52.0
2022-10-13,40.0,53.0
2022-10-11,42.0,52.0
2022-10-13,44.0,54.0
2022-10-13,43.0,51.0
2022-10-10,38.0,59.0
2022-10-13,46.0,50.0
2022-10-14,44.0,54.0
2022-10-13,46.0,52.0
2022-10-11,43.0,51.0
2022-10-08,41.0,52.0
2022-10-12,45.0,54.0
2022-10-12,48.0,52.0
2022-10-12,42.0,55.0
2022-10-09,37.0,57.0
2022-10-09,46.0,53.0
2022-10-10,39.1,55.7
2022-10-12,39.0,46.0
2022-10-10,45.0,54.0
2022-10-09,44.0,55.0
2022-10-04,45.0,49.0
2022-10-05,42.0,52.0
2022-10-08,45.0,46.0
2022-10-10,39.94,54.51
2022-10-08,41.0,58.0
2022-10-06,43.0,56.0
2022-10-06,43.0,56.0
2022-10-07,43.0,55.0
2022-10-05,42.0,57.0
2022-10-02,42.0,51.0
2022-10-06,45.0,54.0
2022-10-05,41.0,49.0
2022-10-05,40.7,53.6
2022-09-29,43.0,51.0
2022-09-03,44.0,56.0
2022-10-03,45.0,53.0
2022-10-03,39.5,52.93
2022-10-02,44.0,54.0
2022-10-01,42.56,48.75
2022-09-29,41.0,53.0
2022-10-02,38.0,45.0
2022-10-03,45.5,54.5
2022-09-30,43.0,53.0
2022-09-30,41.0,57.0
2022-09-26,43.0,51.0
2022-09-30,42.0,56.0
2022-09-30,46.0,53.0
2022-09-30,42.0,53.0
2022-09-01,42.0,51.0
2022-09-23,48.0,52.0
2022-09-01,43.0,55.0
2022-09-23,43.0,51.0
